"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1di1BEgJYzPvXUuinsYJGP","Everybody (Backstreet's Back) - Radio Edit","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","spotify:album:2U9ONknz1iFEK9drEKLx8v","Backstreet's Back","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","1997-08-12","https://i.scdn.co/image/ab67616d0000b273530cec85d4543693bd726167","1","1","225360","https://p.scdn.co/mp3-preview/2da7ea19b35ecbfaf2dd7273e9b305a4e090bbc9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","spotify:user:","2020-10-09T16:53:13Z"
"spotify:track:221LRlPHPuevgE1tuUlof9","I Want You Back - Radio Edit","spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","*NSYNC","spotify:album:7K5qlneuWF1CcY6ERzwkLB","'N Sync UK Version","spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","*NSYNC","1997","https://i.scdn.co/image/ab67616d0000b273186b235052f031900c5cb282","1","8","200440","https://p.scdn.co/mp3-preview/eee3b05f721b771ce0934a9913e6d0ff83305856?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","spotify:user:","2020-10-09T16:53:13Z"
"spotify:track:6DEpT4lCY850MzcBmhd1if","Back for Good - Radio Mix","spotify:artist:1XgFuvRd7r5g0h844A5ZUQ","Take That","spotify:album:0Roig21lheelthCcmLyjYO","Take That Greatest Hits","spotify:artist:1XgFuvRd7r5g0h844A5ZUQ","Take That","1996-03-25","https://i.scdn.co/image/ab67616d0000b2736ad5598c1ab2352c04244a36","1","3","241640","","false","0","spotify:user:","2020-10-09T16:53:13Z"
"spotify:track:4gOYsc0JQJY3mjgqeMIork","Love Me For A Reason","spotify:artist:6X9aYHnQ75YI8o08aoa0iS","Boyzone","spotify:album:1cdcGR4ez7usluC9Z6UTgR","...By Request","spotify:artist:6X9aYHnQ75YI8o08aoa0iS","Boyzone","1999-05-31","https://i.scdn.co/image/ab67616d0000b2739dc8cdc2339d002d5e5c21d2","1","13","219626","","false","0","spotify:user:","2020-10-09T16:53:13Z"
"spotify:track:5pHkdbnwsgEuwdpNvwy3My","Got the Feelin' - Radio Edit","spotify:artist:6rEzedK7cKWjeQWdAYvWVG","Five","spotify:album:3x5IW1MzKe5OS9vw7gprFX","Five","spotify:artist:6rEzedK7cKWjeQWdAYvWVG","Five","1998-07-14","https://i.scdn.co/image/ab67616d0000b2738a0a862213e9771c8058b0af","1","12","207626","https://p.scdn.co/mp3-preview/545540752c61cff334e323ef20d71a4aef3fb0df?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:","2020-10-09T16:53:13Z"
"spotify:track:2bB2QGi8IZXfjqNG3vB2gG","If I Let You Go - Radio Edit","spotify:artist:5Z1CCuBsyhEHngq3U5IraY","Westlife","spotify:album:7hiLA8LEQScMnVvqoKHCHO","Westlife","spotify:artist:5Z1CCuBsyhEHngq3U5IraY","Westlife","1999-10-15","https://i.scdn.co/image/ab67616d0000b273cb959ec23a851556a8ae38bb","1","2","221533","","false","0","spotify:user:","2020-10-09T16:53:13Z"
"spotify:track:5Lk0t4HM9zD0AlWRpMxIFQ","It's Alright - The Guvnor Mix","spotify:artist:6lOC7lwSO1ql4Gc2Y3QObY","East 17","spotify:album:20rKkzPGDxs0I7wVEdML9z","Around The World - The Journey So Far","spotify:artist:6lOC7lwSO1ql4Gc2Y3QObY","East 17","1996-11-01","https://i.scdn.co/image/ab67616d0000b273756ed4c539bdb1fcf5e13aaa","1","3","279799","","false","0","spotify:user:","2020-10-09T16:53:13Z"
"spotify:track:1lkfcyCLP0KPykSLIgh1VT","Where Do You Go","spotify:artist:2tUGlReCZRMoRgl0IS79i3","No Mercy","spotify:album:3tabuqpmg0z2LZiO24V1Vl","Greatest Hits","spotify:artist:2tUGlReCZRMoRgl0IS79i3","No Mercy","2007","https://i.scdn.co/image/ab67616d0000b27382f7f3aabb3bbbec36f28109","1","2","271440","https://p.scdn.co/mp3-preview/b69730707533459abbdf60d6babd0010d0acf096?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:","2020-10-09T16:53:13Z"
"spotify:track:06oS63X7MWr6uhrmFQryZT","Freak Me","spotify:artist:3kcqSqWEss8JZtHBE5IJzZ","Another Level","spotify:album:6YXGp7o4GmZBzXqYB6XQMK","Love Songs","spotify:artist:3kcqSqWEss8JZtHBE5IJzZ","Another Level","2002-12-14","https://i.scdn.co/image/ab67616d0000b273484e004c4066d10fd0924011","1","2","295600","https://p.scdn.co/mp3-preview/ab147b4da7c4decd0c1b5003cc62f367bbc6e581?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:","2020-10-09T16:53:13Z"
"spotify:track:4PgPnzbAgjCQ2eA6YAWcUw","MMMBop - Single Version","spotify:artist:0SdiiPkr02EUdekHZJkt58","Hanson","spotify:album:2F3jGeVC9Oua9omnR6Uoi8","Guilty Pleasures (International Version)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2007-01-01","https://i.scdn.co/image/ab67616d0000b273a748d8d9660df87026a13162","1","2","238533","","false","0","spotify:user:","2020-10-09T16:53:13Z"
"spotify:track:6J6RWKCPN5RFKHUKEUFjxS","Step by Step","spotify:artist:55qiaow2sDYtjqu1mwRua6","New Kids On The Block","spotify:album:4dCdnfD0shXGuHtyTOtx8q","Step By Step","spotify:artist:55qiaow2sDYtjqu1mwRua6","New Kids On The Block","1990-06-04","https://i.scdn.co/image/ab67616d0000b273f4a3db1e7551dab2fb1c06e2","1","1","267293","https://p.scdn.co/mp3-preview/d87625852124cdfd62dfe49837d1bad6782baa7a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","spotify:user:","2020-10-09T16:53:13Z"
