"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:72otaqywVqwyXaCjk75JKm","(God Must Have Spent) A Little More Time On You - Remix","spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","*NSYNC","spotify:album:45gbCmUeq5ZMgXiDkPweRD","Greatest Hits","spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","*NSYNC","2005-10-25","https://i.scdn.co/image/ab67616d0000b2733cf9722343ca133f1c4df89e","1","5","243493","https://p.scdn.co/mp3-preview/2dd697344c3707332a6039e29f3c4a722499de4a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1Je1IMUlBXcx1Fz0WE7oPT","Wannabe","spotify:artist:0uq5PttqEjj3IH1bzwcrXF","Spice Girls","spotify:album:3x2jF7blR6bFHtk4MccsyJ","Spice","spotify:artist:0uq5PttqEjj3IH1bzwcrXF","Spice Girls","1996-01-01","https://i.scdn.co/image/ab67616d0000b273fb59d692d3d66bcd3768a237","1","1","173026","","false","81","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2AlVWg58iy4Cx6KqD0XYu2","Picture Of You","spotify:artist:6X9aYHnQ75YI8o08aoa0iS","Boyzone","spotify:album:6v6BH1znvQFCn3GBsyqVBj","A Different Beat","spotify:artist:6X9aYHnQ75YI8o08aoa0iS","Boyzone","1996-10-28","https://i.scdn.co/image/ab67616d0000b2736ccfecc7b9c94d77f1fc306c","1","1","206040","","false","66","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4dzreTCcGVgeF1vCcd22AC","Don't Stop Movin'","spotify:artist:1kM5rgJvkiDMOoKX56H6pX","S Club 7","spotify:album:4j6ruq2Htor6TsgbqEUhl0","Sunshine","spotify:artist:1kM5rgJvkiDMOoKX56H6pX","S Club 7","2001-11-26","https://i.scdn.co/image/ab67616d0000b273d9eefcb3a1addaf3aac54133","1","1","233626","","false","63","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:16MJqq0vEuW6GRX6faetTm","Whole Again","spotify:artist:6JMHws5haIO6V35YNYDnDw","Atomic Kitten","spotify:album:4C2pT6x3mXXgeV3FdyL3DW","Right Now","spotify:artist:6JMHws5haIO6V35YNYDnDw","Atomic Kitten","2001-10-23","https://i.scdn.co/image/ab67616d0000b273f06a0fdc631991467c6c9b35","1","3","185013","","false","68","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4CCUjYJPbSXLL23BFeBVbI","Gone","spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","*NSYNC","spotify:album:7zBue2Vuzg4Z3ncRXaIkJg","Celebrity","spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","*NSYNC","2001-07-24","https://i.scdn.co/image/ab67616d0000b273270bccf2f538d6f170bd0e2d","1","6","292000","https://p.scdn.co/mp3-preview/a7325f6287dd70a667ab4aebfa93db0718e19e63?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6nV2SYnWxCg0Cnmz1GSh2H","If You Come Back","spotify:artist:2yEkZBBjhzKzt6LF5XMaFi","Blue","spotify:album:4Kx60DeMOwNNnvQRbZMuHg","All Rise","spotify:artist:2yEkZBBjhzKzt6LF5XMaFi","Blue","2001-11-26","https://i.scdn.co/image/ab67616d0000b27323b80e7083b0677a46f3c482","1","4","207560","","false","57","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1rj0XawWJNisX7SGYexowJ","Gotta Tell You","spotify:artist:7L12TqJ0fbwtFljTbwfwRI","Samantha Mumba","spotify:album:5hrhGEdZrxOjBe32cfIuwc","Gotta Tell You","spotify:artist:7L12TqJ0fbwtFljTbwfwRI","Samantha Mumba","2000","https://i.scdn.co/image/ab67616d0000b2732dce2ff2d684c4b0fd254b16","1","1","200160","","false","56","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1nRwyxNsqCLeA17qR8Nfxx","Quit Playing Games (With My Heart)","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","spotify:album:0wvQovgaVU99eqw8n3g22S","Backstreet Boys","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","1996","https://i.scdn.co/image/ab67616d0000b273dafd4b9261a1ab9acd53a53d","1","2","233533","https://p.scdn.co/mp3-preview/3b62beeb31e777f088b9a1ff59e732947e5805ae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:013AWvizllIUEC2FOBzOnh","Truly Madly Deeply","spotify:artist:3NRFinRTEqUCfaTTZmk8ek","Savage Garden","spotify:album:64peTvbTLBDeSBu0GsCRE4","Savage Garden","spotify:artist:3NRFinRTEqUCfaTTZmk8ek","Savage Garden","1997-03-04","https://i.scdn.co/image/ab67616d0000b27384fef39a9a8293c86796599f","1","3","277266","https://p.scdn.co/mp3-preview/d24fa7178eccb057ea3b9ccdac51584bfdcc8898?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","spotify:user:","1970-01-01T00:00:00Z"
