"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6D60klaHqbCl9ySc8VcRss","Stronger (What Doesn't Kill You)","spotify:artist:3BmGtnKgCSGYIUhmivXKWX","Kelly Clarkson","spotify:album:1MNvMtEmMMdBXZBDcFNcWj","Stronger (Deluxe Version)","spotify:artist:3BmGtnKgCSGYIUhmivXKWX","Kelly Clarkson","2011-10-24","https://i.scdn.co/image/ab67616d0000b273253e3f8fce535f72a6b2c4ba","1","2","221946","https://p.scdn.co/mp3-preview/328bdd62e0e8f7f110cb546017ff3bf3042cc37a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","spotify:user:bcordes07","2021-03-05T13:52:20Z"
"spotify:track:7FC9Lng8iXU081lbigu8m8","Heartbeat Song","spotify:artist:3BmGtnKgCSGYIUhmivXKWX","Kelly Clarkson","spotify:album:7oKtXc3FkeOZTCB88YugON","Piece By Piece (Deluxe Version)","spotify:artist:3BmGtnKgCSGYIUhmivXKWX","Kelly Clarkson","2015-02-27","https://i.scdn.co/image/ab67616d0000b2738612619562d9e86624479ec8","1","1","198733","https://p.scdn.co/mp3-preview/bf083c904ad9f4ffa21031dad2e372594ec25e56?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","spotify:user:bcordes07","2021-03-05T13:53:28Z"
"spotify:track:2YhE6xeWN0R9RVwEOG9lR1","Candy","spotify:artist:2LJxr7Pt3JnP60eLxwbDOu","Mandy Moore","spotify:album:2bO8HiXIChnnMT1UGuMUPR","So Real","spotify:artist:2LJxr7Pt3JnP60eLxwbDOu","Mandy Moore","1999-10-25","https://i.scdn.co/image/ab67616d0000b273a40c860cdc68ea610d0ce9c9","1","2","234133","https://p.scdn.co/mp3-preview/57b9826ad08ab09b1a23554b699302ecd40cb48e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","spotify:user:bcordes07","2021-03-05T13:55:18Z"
"spotify:track:4rTeOSYqwXNz5qPR2DUTFZ","Everybody (Backstreet's Back) - Radio Edit","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","spotify:album:1SFKmqhTTEkE3PmSBEMpa3","This Is The End: Original Motion Picture Soundtrack","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2013-06-10","https://i.scdn.co/image/ab67616d0000b273c999354430ff7eac3e0d9bc8","1","10","224960","https://p.scdn.co/mp3-preview/331ae7f182384985b601fc75ae7f0e7a0c821de5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","spotify:user:bcordes07","2021-03-05T13:57:19Z"
"spotify:track:2oWMI54r0qT4N8Xb4C76vq","The Look","spotify:artist:2SHhfs4BiDxGQ3oxqf0UHY","Roxette","spotify:album:4rQV5S9FhajZdyzFfcyYw9","Look Sharp! (Extended Version)","spotify:artist:2SHhfs4BiDxGQ3oxqf0UHY","Roxette","1988-10-21","https://i.scdn.co/image/ab67616d0000b2737d32e463de3d8d8b39dcac2c","1","1","237320","https://p.scdn.co/mp3-preview/d7698dbbf903869aeecc6cd749b1eed113adf71c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","spotify:user:bcordes07","2021-03-05T14:04:33Z"
"spotify:track:6nozDLxeL0TE4MS9GqYU1v","I Knew I Loved You","spotify:artist:3NRFinRTEqUCfaTTZmk8ek","Savage Garden","spotify:album:3w69KK7uEA8OsKuW3OeQcC","Affirmation","spotify:artist:3NRFinRTEqUCfaTTZmk8ek","Savage Garden","1999-11-09","https://i.scdn.co/image/ab67616d0000b2735f2acb28c792e4594c0f11e8","1","3","250360","https://p.scdn.co/mp3-preview/f0cfba5a34f233a8e15af6df8a54b5fbba040429?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","spotify:user:bcordes07","2021-03-05T14:06:00Z"
"spotify:track:3XorCFmcupSm5QS6hA9g4N","I Want You","spotify:artist:3NRFinRTEqUCfaTTZmk8ek","Savage Garden","spotify:album:64peTvbTLBDeSBu0GsCRE4","Savage Garden","spotify:artist:3NRFinRTEqUCfaTTZmk8ek","Savage Garden","1997-03-04","https://i.scdn.co/image/ab67616d0000b27384fef39a9a8293c86796599f","1","2","232066","https://p.scdn.co/mp3-preview/44e40b95909072847dac5d1caf2176640c04a002?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","spotify:user:bcordes07","2021-03-05T14:06:24Z"
"spotify:track:5JvsxPAHsGxwNq4xto2HtM","Listen To Your Heart","spotify:artist:2SHhfs4BiDxGQ3oxqf0UHY","Roxette","spotify:album:4rQV5S9FhajZdyzFfcyYw9","Look Sharp! (Extended Version)","spotify:artist:2SHhfs4BiDxGQ3oxqf0UHY","Roxette","1988-10-21","https://i.scdn.co/image/ab67616d0000b2737d32e463de3d8d8b39dcac2c","1","13","328093","https://p.scdn.co/mp3-preview/0e4f8623b2ed598773d6a18d100f3992e13b560f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","spotify:user:bcordes07","2021-03-05T14:06:45Z"
"spotify:track:013AWvizllIUEC2FOBzOnh","Truly Madly Deeply","spotify:artist:3NRFinRTEqUCfaTTZmk8ek","Savage Garden","spotify:album:64peTvbTLBDeSBu0GsCRE4","Savage Garden","spotify:artist:3NRFinRTEqUCfaTTZmk8ek","Savage Garden","1997-03-04","https://i.scdn.co/image/ab67616d0000b27384fef39a9a8293c86796599f","1","3","277266","https://p.scdn.co/mp3-preview/d24fa7178eccb057ea3b9ccdac51584bfdcc8898?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","spotify:user:bcordes07","2021-03-05T14:07:56Z"
"spotify:track:0hrBpAOgrt8RXigk83LLNE","The Sign","spotify:artist:5ksRONqssB7BR161NTtJAm","Ace of Base","spotify:album:5UwIyIyFzkM7wKeGtRJPgB","The Sign","spotify:artist:5ksRONqssB7BR161NTtJAm","Ace of Base","1993-12-24","https://i.scdn.co/image/ab67616d0000b273fda5556cb6981c3113df6175","1","4","191240","https://p.scdn.co/mp3-preview/4c463359f67dd3546db7294d236dd0ae991882ff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","spotify:user:bcordes07","2021-03-05T14:08:32Z"
"spotify:track:70fe354BpVKEvMY0de78YO","Real World","spotify:artist:3Ngh2zDBRPEriyxQDAMKd1","Matchbox Twenty","spotify:album:4vUXTcKz7tXxrNl84meN6i","Yourself or Someone Like You","spotify:artist:3Ngh2zDBRPEriyxQDAMKd1","Matchbox Twenty","1996-10-01","https://i.scdn.co/image/ab67616d0000b27323dbfb8b3b1be429587f5380","1","1","231693","https://p.scdn.co/mp3-preview/7c2e2323f8770b24d6390fbd83b360995a993659?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","spotify:user:bcordes07","2021-03-05T14:09:00Z"
"spotify:track:7nXq1vaZiz7PdbfojpPjW5","Fighter","spotify:artist:1l7ZsJRRS8wlW3WfJfPfNS","Christina Aguilera","spotify:album:2USigX9DhGuAini71XZEEK","Stripped","spotify:artist:1l7ZsJRRS8wlW3WfJfPfNS","Christina Aguilera","2002-07-19","https://i.scdn.co/image/ab67616d0000b2737cd872c7701c4737b2f81d87","1","4","245960","https://p.scdn.co/mp3-preview/b1d94df0bb89a656665c83971170e9fa9fce4cc8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","spotify:user:bcordes07","2021-03-05T14:11:05Z"
