"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:2AW37v0bDyuOzGP3XnmFuA","It's Gonna Be Me","spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","*NSYNC","spotify:album:20RMokVwJ2wjQ0s8FOdOFC","No Strings Attached","spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","*NSYNC","2000-03-21","https://i.scdn.co/image/ab67616d0000b273a6cb8fab778e1efc406a5909","1","2","192426","https://p.scdn.co/mp3-preview/f9716f83d213f049a29f866eb00efd372e49e557?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","spotify:user:1299680729","2020-10-13T16:37:42Z"
"spotify:track:6sbXGUn9V9ZaLwLdOfpKRE","Larger Than Life","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","spotify:album:5ySxm9hxBNss01WCL7GLyQ","Millennium","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","1999-05-18","https://i.scdn.co/image/ab67616d0000b2732160c02bc56f192df0f4986b","1","1","232826","https://p.scdn.co/mp3-preview/740ac3a10a01431d8b00bcb3134c7c7feb0b61ac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","spotify:user:1299680729","2020-10-13T16:39:53Z"
"spotify:track:62bOmKYxYg7dhrC6gH9vFn","Bye Bye Bye","spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","*NSYNC","spotify:album:20RMokVwJ2wjQ0s8FOdOFC","No Strings Attached","spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","*NSYNC","2000-03-21","https://i.scdn.co/image/ab67616d0000b273a6cb8fab778e1efc406a5909","1","1","200400","https://p.scdn.co/mp3-preview/72b91cb27fac7beb50a2deffdd8b821fba5ba950?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","spotify:user:1299680729","2020-10-13T16:41:52Z"
"spotify:track:47BBI51FKFwOMlIiX6m8ya","I Want It That Way","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","spotify:album:5ySxm9hxBNss01WCL7GLyQ","Millennium","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","1999-05-18","https://i.scdn.co/image/ab67616d0000b2732160c02bc56f192df0f4986b","1","2","213306","https://p.scdn.co/mp3-preview/b8c2410a5acb68b462be6ac85f1312430e2b149c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","spotify:user:1299680729","2020-10-13T16:42:00Z"
"spotify:track:4rpax3BVCOgoRYHFdR4WWN","Tearin' Up My Heart - Extended Version","spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","*NSYNC","spotify:album:0VoP8GVV2gfajU8IyocdRo","*NSYNC","spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","*NSYNC","1997-05-20","https://i.scdn.co/image/ab67616d0000b273301346c1ff7913b910915aad","1","1","286266","https://p.scdn.co/mp3-preview/50a389efd97739b670730ed88b6af9516b8fb02a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:1299680729","2020-10-13T19:42:00Z"
"spotify:track:1mxTCArq9EhSg4QPGqhjhT","The Call","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","spotify:album:41zXjyVr6dzmchWf8tv3UO","Black & Blue","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","2000-11-21","https://i.scdn.co/image/ab67616d0000b273cf871e6326e334bfa92cff20","1","1","204800","https://p.scdn.co/mp3-preview/f098cdc2fe7f95ab96e203751eb800d01cda80cd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:1299680729","2020-10-13T16:44:25Z"
"spotify:track:4CCUjYJPbSXLL23BFeBVbI","Gone","spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","*NSYNC","spotify:album:7zBue2Vuzg4Z3ncRXaIkJg","Celebrity","spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","*NSYNC","2001-07-24","https://i.scdn.co/image/ab67616d0000b273270bccf2f538d6f170bd0e2d","1","6","292000","https://p.scdn.co/mp3-preview/a7325f6287dd70a667ab4aebfa93db0718e19e63?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:1299680729","2020-10-13T16:45:52Z"
"spotify:track:3BsaRV5QIulYz2lV9WWa8T","Show Me the Meaning of Being Lonely","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","spotify:album:5ySxm9hxBNss01WCL7GLyQ","Millennium","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","1999-05-18","https://i.scdn.co/image/ab67616d0000b2732160c02bc56f192df0f4986b","1","3","234960","https://p.scdn.co/mp3-preview/cfed9c2d2d5e507ec4e91018fbd8a8ba281e9c70?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","spotify:user:1299680729","2020-10-13T16:46:20Z"
"spotify:track:221LRlPHPuevgE1tuUlof9","I Want You Back - Radio Edit","spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","*NSYNC","spotify:album:7K5qlneuWF1CcY6ERzwkLB","'N Sync UK Version","spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","*NSYNC","1997","https://i.scdn.co/image/ab67616d0000b273186b235052f031900c5cb282","1","8","200440","https://p.scdn.co/mp3-preview/eee3b05f721b771ce0934a9913e6d0ff83305856?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","spotify:user:1299680729","2020-10-13T19:35:08Z"
"spotify:track:35o9a4iAfLl5jRmqMX9c1D","Shape of My Heart","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","spotify:album:41zXjyVr6dzmchWf8tv3UO","Black & Blue","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","2000-11-21","https://i.scdn.co/image/ab67616d0000b273cf871e6326e334bfa92cff20","1","2","230093","https://p.scdn.co/mp3-preview/6de46cfa70614daad6d8bda0c186e8a480a211a0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","spotify:user:1299680729","2020-10-13T19:35:38Z"
