"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:47BBI51FKFwOMlIiX6m8ya","I Want It That Way","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","spotify:album:5ySxm9hxBNss01WCL7GLyQ","Millennium","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","1999-05-18","https://i.scdn.co/image/ab67616d0000b2732160c02bc56f192df0f4986b","1","2","213306","https://p.scdn.co/mp3-preview/b8c2410a5acb68b462be6ac85f1312430e2b149c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","spotify:user:evelyn.gutierrez55","2019-09-02T15:36:04Z"
"spotify:track:3MjUtNVVq3C8Fn0MP3zhXa","...Baby One More Time","spotify:artist:26dSoYclwsYLMAKD3tpOr4","Britney Spears","spotify:album:3WNxdumkSMGMJRhEgK80qx","...Baby One More Time (Digital Deluxe Version)","spotify:artist:26dSoYclwsYLMAKD3tpOr4","Britney Spears","1999-01-12","https://i.scdn.co/image/ab67616d0000b2738e49866860c25afffe2f1a02","1","1","211066","https://p.scdn.co/mp3-preview/da2134a161f1cb34d17c2d6d7e77cc93d1c1e6f7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","spotify:user:evelyn.gutierrez55","2019-09-02T18:30:46Z"
"spotify:track:6zMUIb4uce1CzpbjR3vMdN","Foolish","spotify:artist:5rkVyNGXEgeUqKkB5ccK83","Ashanti","spotify:album:5M3BrdaT0TV5SsYsM5PM8X","Ashanti","spotify:artist:5rkVyNGXEgeUqKkB5ccK83","Ashanti","2002-01-01","https://i.scdn.co/image/ab67616d0000b2730ce7276f98d22a40865d9f0a","1","2","227386","","true","73","spotify:user:evelyn.gutierrez55","2019-09-02T20:17:21Z"
"spotify:track:0exb0K7vsjf5bXWLJJhAuF","Bust It Baby, Pt. 2 (feat. Ne-Yo)","spotify:artist:3jksrX4oBklxR78ft8gv3j, spotify:artist:21E3waRsmPlU7jZsS13rcj","Plies, Ne-Yo","spotify:album:4XYeXtHzp0x7wzgUyasKBA","Definition of Real","spotify:artist:3jksrX4oBklxR78ft8gv3j","Plies","2008-06-10","https://i.scdn.co/image/ab67616d0000b27363130d152ee0f8e56b9790d4","1","11","240760","https://p.scdn.co/mp3-preview/5b604e34165036a56f24695978eb1dc285f02377?cid=9950ac751e34487dbbe027c4fd7f8e99","true","66","spotify:user:evelyn.gutierrez55","2019-09-02T21:07:53Z"
"spotify:track:0ARK753YaiJbpLUk7z5yIM","Dilemma","spotify:artist:2gBjLmx6zQnFGQJCAQpRgw, spotify:artist:3AuMNF8rQAKOzjYppFNAoB","Nelly, Kelly Rowland","spotify:album:4HUUHHXBXImwksfbSPqE7q","Nellyville","spotify:artist:2gBjLmx6zQnFGQJCAQpRgw","Nelly","2002-06-25","https://i.scdn.co/image/ab67616d0000b273a8b9f97b9ea065b9a857e93f","1","10","289160","","true","79","spotify:user:evelyn.gutierrez55","2019-09-03T05:52:50Z"
"spotify:track:7I6DceMT3utDOHjcYCbrr4","Don't Matter","spotify:artist:0z4gvV4rjIZ9wHck67ucSV","Akon","spotify:album:6kzoWb4UzvKYgbDfAwgaFq","Konvicted","spotify:artist:0z4gvV4rjIZ9wHck67ucSV","Akon","2006-01-01","https://i.scdn.co/image/ab67616d0000b273d9bcf5565005950b353bc9cf","1","12","293053","","true","68","spotify:user:evelyn.gutierrez55","2019-09-03T05:52:51Z"
"spotify:track:3LmvfNUQtglbTrydsdIqFU","We Belong Together","spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ","Mariah Carey","spotify:album:43iBTEWECK7hSnE0p6GgNo","The Emancipation of Mimi","spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ","Mariah Carey","2005-01-01","https://i.scdn.co/image/ab67616d0000b273768bc8d9f078db929dfcfbd1","1","2","201400","","false","72","spotify:user:evelyn.gutierrez55","2019-09-03T05:53:08Z"
"spotify:track:0EHR9OObFtjlhQB8wSt1m7","Mrs. Officer","spotify:artist:55Aa2cqylxrFIXC767Z865, spotify:artist:4HgF4KnohByNElYid7iCNb, spotify:artist:2zJoKYyLmhvsq3ORbXE7xF","Lil Wayne, Bobby V., Kidd Kidd","spotify:album:5BGzOpea6At0Nd7tYtYZOP","Tha Carter III","spotify:artist:55Aa2cqylxrFIXC767Z865","Lil Wayne","2008-06-10","https://i.scdn.co/image/ab67616d0000b27333ebdffaa447ff19ce9f24bb","1","9","286906","","true","68","spotify:user:evelyn.gutierrez55","2019-09-03T05:53:37Z"
"spotify:track:1GxHeBvQ9935Dd3cSfsfBa","Best I Ever Had","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","spotify:album:6agmeioaDOBupymziJihgB","Thank Me Later (Int'l Version)","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2010-01-01","https://i.scdn.co/image/ab67616d0000b27372babba16ea5e3afe690b4f1","1","15","258760","","true","66","spotify:user:evelyn.gutierrez55","2019-09-03T05:53:48Z"
"spotify:track:3wkNK8tJZ2stygNJm8RCRD","I Luv Your Girl","spotify:artist:1W3FSF1BLpY3hlVIgvenLz","The-Dream","spotify:album:5yZReyaWQzR6jvaw4OBxzV","Lovehate","spotify:artist:1W3FSF1BLpY3hlVIgvenLz","The-Dream","2007-01-01","https://i.scdn.co/image/ab67616d0000b273c0272c5b4cba114ea0fb9e5c","1","2","267866","","true","60","spotify:user:evelyn.gutierrez55","2019-09-03T05:54:06Z"
