"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3sHuIjfAzluc6S9cXoqfqC","Let It Be Me","spotify:artist:77AiFEVeAVj2ORpC85QVJs, spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Steve Aoki, Backstreet Boys","spotify:album:5ocW53VBnOprl6EAMOLGet","Let It Be Me","spotify:artist:77AiFEVeAVj2ORpC85QVJs, spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Steve Aoki, Backstreet Boys","2019-09-06","https://i.scdn.co/image/ab67616d0000b2730d713edb6fd909a767d379e6","1","1","224060","","false","0","spotify:user:","2019-09-05T16:01:00Z"
"spotify:track:47BBI51FKFwOMlIiX6m8ya","I Want It That Way","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","spotify:album:5ySxm9hxBNss01WCL7GLyQ","Millennium","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","1999-05-18","https://i.scdn.co/image/ab67616d0000b2732160c02bc56f192df0f4986b","1","2","213306","https://p.scdn.co/mp3-preview/b8c2410a5acb68b462be6ac85f1312430e2b149c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","spotify:user:","2019-03-20T08:24:39Z"
"spotify:track:0Uqs7ilt5kGX9NzFDWTBrP","Quit Playing Games (With My Heart)","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","spotify:album:1oWxRkI4V9d3hH3PqWpx9H","Backstreet Boys","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","1996-05-06","https://i.scdn.co/image/ab67616d0000b2733d16809ca253f0f476195941","1","5","232666","https://p.scdn.co/mp3-preview/cb4140bff3428cbe83c272af9b3e93594ff223a3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","spotify:user:","2019-03-20T08:24:39Z"
"spotify:track:1qMTqzU9Uy8z7EzzaiwgsD","As Long as You Love Me","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","spotify:album:1NoX73FALQVUQfiOgb3zwH","Backstreet Boys","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","1997","https://i.scdn.co/image/ab67616d0000b2735e74cc25b14465a00995e671","1","3","214333","","false","0","spotify:user:","2019-03-20T08:24:39Z"
"spotify:track:1di1BEgJYzPvXUuinsYJGP","Everybody (Backstreet's Back) - Radio Edit","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","spotify:album:2U9ONknz1iFEK9drEKLx8v","Backstreet's Back","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","1997-08-12","https://i.scdn.co/image/ab67616d0000b273530cec85d4543693bd726167","1","1","225360","https://p.scdn.co/mp3-preview/2da7ea19b35ecbfaf2dd7273e9b305a4e090bbc9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","spotify:user:","2019-03-20T08:24:39Z"
"spotify:track:2u2w0HS7Rk6EO5UuuekYfO","Shape of My Heart","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","spotify:album:24jm4hbEeF3i371speHHbR","Black & Blue","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","2000","https://i.scdn.co/image/ab67616d0000b273f58304685e561df18ccabac8","1","2","230093","","false","0","spotify:user:","2019-03-20T08:24:39Z"
"spotify:track:3BsaRV5QIulYz2lV9WWa8T","Show Me the Meaning of Being Lonely","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","spotify:album:5ySxm9hxBNss01WCL7GLyQ","Millennium","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","1999-05-18","https://i.scdn.co/image/ab67616d0000b2732160c02bc56f192df0f4986b","1","3","234960","https://p.scdn.co/mp3-preview/cfed9c2d2d5e507ec4e91018fbd8a8ba281e9c70?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","spotify:user:","2019-03-20T08:24:39Z"
"spotify:track:6sbXGUn9V9ZaLwLdOfpKRE","Larger Than Life","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","spotify:album:5ySxm9hxBNss01WCL7GLyQ","Millennium","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","1999-05-18","https://i.scdn.co/image/ab67616d0000b2732160c02bc56f192df0f4986b","1","1","232826","https://p.scdn.co/mp3-preview/740ac3a10a01431d8b00bcb3134c7c7feb0b61ac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","spotify:user:","2019-03-20T08:24:39Z"
"spotify:track:2aNG1zFgAuHqYWhNbiIOF8","All I Have to Give","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","spotify:album:2U9ONknz1iFEK9drEKLx8v","Backstreet's Back","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","1997-08-12","https://i.scdn.co/image/ab67616d0000b273530cec85d4543693bd726167","1","3","274626","https://p.scdn.co/mp3-preview/6885f088041c1ff71c9e440936bcb715fec57ba8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","spotify:user:","2019-03-20T08:24:39Z"
"spotify:track:6KPMiBhU6O9RBImTQXQNCe","Get Down (You're the One for Me) - LP Edit No Rap","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","spotify:album:1oWxRkI4V9d3hH3PqWpx9H","Backstreet Boys","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","1996-05-06","https://i.scdn.co/image/ab67616d0000b2733d16809ca253f0f476195941","1","3","230386","https://p.scdn.co/mp3-preview/30289a79fe4e1695ff5305697448e39b24e81ee2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","spotify:user:","2019-03-20T08:24:39Z"
