"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:62bOmKYxYg7dhrC6gH9vFn","Bye Bye Bye","spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","*NSYNC","spotify:album:20RMokVwJ2wjQ0s8FOdOFC","No Strings Attached","spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","*NSYNC","2000-03-21","https://i.scdn.co/image/ab67616d0000b273a6cb8fab778e1efc406a5909","1","1","200400","https://p.scdn.co/mp3-preview/72b91cb27fac7beb50a2deffdd8b821fba5ba950?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","spotify:user:","2021-04-11T16:35:12Z"
"spotify:track:46n2EGFnPC3tzWCN1Aqe26","This I Promise You","spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","*NSYNC","spotify:album:20RMokVwJ2wjQ0s8FOdOFC","No Strings Attached","spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","*NSYNC","2000-03-21","https://i.scdn.co/image/ab67616d0000b273a6cb8fab778e1efc406a5909","1","6","284760","https://p.scdn.co/mp3-preview/87f8b1d59396b8d856c9fc6af68015c5136b3d59?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","spotify:user:","2021-04-11T16:35:12Z"
"spotify:track:73q3FpQVXWk5eSUnyo83E4","Tearin' up My Heart - Radio Edit","spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","*NSYNC","spotify:album:7K5qlneuWF1CcY6ERzwkLB","'N Sync UK Version","spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","*NSYNC","1997","https://i.scdn.co/image/ab67616d0000b273186b235052f031900c5cb282","1","1","209400","https://p.scdn.co/mp3-preview/cce95b757e13948b173ab4be1fa1e214660eafd2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","spotify:user:","2021-04-11T16:35:12Z"
"spotify:track:0Jc8qF1mUPo1A96HE9QxZz","Pop","spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","*NSYNC","spotify:album:7zBue2Vuzg4Z3ncRXaIkJg","Celebrity","spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","*NSYNC","2001-07-24","https://i.scdn.co/image/ab67616d0000b273270bccf2f538d6f170bd0e2d","1","1","238426","https://p.scdn.co/mp3-preview/8ab4f22f60d0fec23d2c05186984e6cb5d7a2142?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:","2021-04-11T16:35:12Z"
"spotify:track:72otaqywVqwyXaCjk75JKm","(God Must Have Spent) A Little More Time On You - Remix","spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","*NSYNC","spotify:album:45gbCmUeq5ZMgXiDkPweRD","Greatest Hits","spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","*NSYNC","2005-10-25","https://i.scdn.co/image/ab67616d0000b2733cf9722343ca133f1c4df89e","1","5","243493","https://p.scdn.co/mp3-preview/2dd697344c3707332a6039e29f3c4a722499de4a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:","2021-04-11T16:35:12Z"
"spotify:track:2AW37v0bDyuOzGP3XnmFuA","It's Gonna Be Me","spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","*NSYNC","spotify:album:20RMokVwJ2wjQ0s8FOdOFC","No Strings Attached","spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","*NSYNC","2000-03-21","https://i.scdn.co/image/ab67616d0000b273a6cb8fab778e1efc406a5909","1","2","192426","https://p.scdn.co/mp3-preview/f9716f83d213f049a29f866eb00efd372e49e557?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","spotify:user:","2021-04-11T16:35:12Z"
"spotify:track:221LRlPHPuevgE1tuUlof9","I Want You Back - Radio Edit","spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","*NSYNC","spotify:album:7K5qlneuWF1CcY6ERzwkLB","'N Sync UK Version","spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","*NSYNC","1997","https://i.scdn.co/image/ab67616d0000b273186b235052f031900c5cb282","1","8","200440","https://p.scdn.co/mp3-preview/eee3b05f721b771ce0934a9913e6d0ff83305856?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","spotify:user:","2021-04-11T16:35:12Z"
"spotify:track:4CCUjYJPbSXLL23BFeBVbI","Gone","spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","*NSYNC","spotify:album:7zBue2Vuzg4Z3ncRXaIkJg","Celebrity","spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","*NSYNC","2001-07-24","https://i.scdn.co/image/ab67616d0000b273270bccf2f538d6f170bd0e2d","1","6","292000","https://p.scdn.co/mp3-preview/a7325f6287dd70a667ab4aebfa93db0718e19e63?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:","2021-04-11T16:35:12Z"
"spotify:track:3ifU75CWczBdMxKdolSHwI","Yo Te Voy A Amar - Radio Edit","spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","*NSYNC","spotify:album:4SGBTJEe8NBz1NwFCue6bG","Greatest Hits","spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","*NSYNC","2005","https://i.scdn.co/image/ab67616d0000b273eb997d398a1a87027d99c20c","1","15","266240","https://p.scdn.co/mp3-preview/c964121c8422f7e83209644af9f0a520b2aea047?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:","2021-04-11T16:35:12Z"
"spotify:track:4R3BvvUm5fe8SCPs6287dY","God Must Have Spent a Little More Time on You (feat. *NSYNC)","spotify:artist:6rJqqRce0Kvo2dJUXoHleC, spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","Alabama, *NSYNC","spotify:album:3bhFoH4PFnY4ifK4981U8X","The Essential *NSYNC","spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","*NSYNC","2014-07-29","https://i.scdn.co/image/ab67616d0000b27368a71db4b09063815c257187","2","6","278440","https://p.scdn.co/mp3-preview/b9ff3e543b9d030e0e91b12c35faf52fbcf62ca5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:","2021-04-11T16:35:12Z"
