"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6e8Ou0wiqAzIpWb2eSxll8","Miami","spotify:artist:41qil2VaGbD194gaEcmmyx","Will Smith","spotify:album:2esWeP8Ln1sXA0jbDmi3Zq","Big Willie Style","spotify:artist:41qil2VaGbD194gaEcmmyx","Will Smith","1997-10-03","https://i.scdn.co/image/ab67616d0000b273ddf2f9edabd166c60047e3c4","1","8","197560","https://p.scdn.co/mp3-preview/c718a0f4a871eef327e00db76e9baf0961657154?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","spotify:user:","2020-05-22T01:15:56Z"
"spotify:track:3jDdpx9PMlfMBS5tOBHFm9","Return of the Mack","spotify:artist:6V3F8MZrOKdT9fU686ybE9","Mark Morrison","spotify:album:6plavTFCGXv5vpy0jZVtOV","Return of the Mack","spotify:artist:6V3F8MZrOKdT9fU686ybE9","Mark Morrison","1996-04-22","https://i.scdn.co/image/ab67616d0000b27301841d493ec3808242042c0f","1","6","213093","https://p.scdn.co/mp3-preview/77bbf1e3bc27bfe6339579f71fc0b612391aa5e3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","spotify:user:","2020-05-22T01:15:56Z"
"spotify:track:4pmc2AxSEq6g7hPVlJCPyP","Jumpin', Jumpin'","spotify:artist:1Y8cdNmUJH7yBTd9yOvr5i","Destiny's Child","spotify:album:283NWqNsCA9GwVHrJk59CG","The Writing's On The Wall","spotify:artist:1Y8cdNmUJH7yBTd9yOvr5i","Destiny's Child","1999-07-27","https://i.scdn.co/image/ab67616d0000b2733718df75b57340c1947747e8","1","11","230200","https://p.scdn.co/mp3-preview/900921fe7ea36b001edc1c21f146c4732ff43032?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","spotify:user:","2020-05-22T01:15:56Z"
"spotify:track:1di1BEgJYzPvXUuinsYJGP","Everybody (Backstreet's Back) - Radio Edit","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","spotify:album:2U9ONknz1iFEK9drEKLx8v","Backstreet's Back","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","1997-08-12","https://i.scdn.co/image/ab67616d0000b273530cec85d4543693bd726167","1","1","225360","https://p.scdn.co/mp3-preview/2da7ea19b35ecbfaf2dd7273e9b305a4e090bbc9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","spotify:user:","2020-05-22T01:15:56Z"
"spotify:track:1yTQ39my3MoNROlFw3RDNy","Say You'll Be There","spotify:artist:0uq5PttqEjj3IH1bzwcrXF","Spice Girls","spotify:album:3x2jF7blR6bFHtk4MccsyJ","Spice","spotify:artist:0uq5PttqEjj3IH1bzwcrXF","Spice Girls","1996-01-01","https://i.scdn.co/image/ab67616d0000b273fb59d692d3d66bcd3768a237","1","2","235973","","false","67","spotify:user:","2020-05-22T01:15:56Z"
"spotify:track:3djNBlI7xOggg7pnsOLaNm","California Love - Original Version","spotify:artist:1ZwdS5xdxEREPySFridCfh, spotify:artist:3GMoVpWJy4smKuxFuFTwXC, spotify:artist:6DPYiyq5kWVQS4RGwxzPC7","2Pac, Roger, Dr. Dre","spotify:album:4Y9ISbppFbwk0r1XCLUi0I","The Best of 2Pac","spotify:artist:1ZwdS5xdxEREPySFridCfh","2Pac","2007-12-03","https://i.scdn.co/image/ab67616d0000b273c1c10d28c1887c2bb1f6b2fa","1","2","284480","","true","68","spotify:user:","2020-05-22T01:15:56Z"
"spotify:track:6MdqqkQ8sSC0WB4i8PyRuQ","No Diggity","spotify:artist:2P3cjUru4H3fhSXXNxE9kA, spotify:artist:6DPYiyq5kWVQS4RGwxzPC7, spotify:artist:0VbIlorLz3I5SEtIsc5vAr","Blackstreet, Dr. Dre, Queen Pen","spotify:album:2zGZLQiFl9UubtrVmtIkbi","Another Level","spotify:artist:2P3cjUru4H3fhSXXNxE9kA","Blackstreet","1996-09-09","https://i.scdn.co/image/ab67616d0000b27303ca37157b9ceefbe8fe225b","1","3","304600","","false","77","spotify:user:","2020-05-22T01:15:56Z"
"spotify:track:7aQjPecQdIuNd1sz3KCDhD","Lovefool","spotify:artist:1tqZaCwM57UFKjWoYwMLrw","The Cardigans","spotify:album:56vFkneGivqQcoNQq362iZ","First Band On The Moon (Remastered)","spotify:artist:1tqZaCwM57UFKjWoYwMLrw","The Cardigans","1996-01-01","https://i.scdn.co/image/ab67616d0000b2730aac8ca880151fda470e91af","1","7","193953","","false","73","spotify:user:","2020-05-22T01:15:56Z"
"spotify:track:0hrBpAOgrt8RXigk83LLNE","The Sign","spotify:artist:5ksRONqssB7BR161NTtJAm","Ace of Base","spotify:album:5UwIyIyFzkM7wKeGtRJPgB","The Sign","spotify:artist:5ksRONqssB7BR161NTtJAm","Ace of Base","1993-12-24","https://i.scdn.co/image/ab67616d0000b273fda5556cb6981c3113df6175","1","4","191240","https://p.scdn.co/mp3-preview/4c463359f67dd3546db7294d236dd0ae991882ff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","spotify:user:","2020-05-22T01:15:56Z"
"spotify:track:594M0rqYMOo8BhMGEdoi5C","Tearin' up My Heart - Radio Edit","spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","*NSYNC","spotify:album:0CADmCXbIx4F9m6TBwLtFd","'N Sync","spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","*NSYNC","1997-05-26","https://i.scdn.co/image/ab67616d0000b273583ce664168dca88fdc1c4c1","1","1","211000","https://p.scdn.co/mp3-preview/b179e4171207a90d3f0d52b307cd7ff5d2ed4df5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:","2020-05-22T01:15:56Z"
"spotify:track:7uYroF9RRrhRJBrigRvB6H","Summer Girls","spotify:artist:1FizW0swe8ODtXvEOHXbHX","LFO","spotify:album:6DZdRerOCdaQyBLwntH2cX","LFO","spotify:artist:1FizW0swe8ODtXvEOHXbHX","LFO","1999-08-10","https://i.scdn.co/image/ab67616d0000b273525b46fcbb89167ea9084dec","1","1","257333","https://p.scdn.co/mp3-preview/0986ff170e2a1bbd8f85d4fa8fddc46c3d5286d6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","spotify:user:","2020-05-22T01:15:56Z"
"spotify:track:0Ph6L4l8dYUuXFmb71Ajnd","Livin' la Vida Loca","spotify:artist:7slfeZO9LsJbWgpkIoXBUJ","Ricky Martin","spotify:album:1k1Cr3nlJDa8pvwZUJ5xfj","Ricky Martin","spotify:artist:7slfeZO9LsJbWgpkIoXBUJ","Ricky Martin","1999","https://i.scdn.co/image/ab67616d0000b273e7e9b85cc1f021ec12130d80","1","1","243160","https://p.scdn.co/mp3-preview/5fdf7aacfed97c3f3d476f58dac07b8214421acc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","spotify:user:","2020-05-22T01:15:56Z"
"spotify:track:4agp6oHofabdUedr0B1krj","Steal My Sunshine","spotify:artist:0nyc9SZGLITSOJASmTZsnZ","LEN","spotify:album:5NndKV7nc18qRQfFvLgZ1k","You Can't Stop The Bum Rush","spotify:artist:0nyc9SZGLITSOJASmTZsnZ","LEN","1999-05-25","https://i.scdn.co/image/ab67616d0000b273ce51ef2806ab31b8c6239a91","1","1","265533","https://p.scdn.co/mp3-preview/b7084abce98a790b833d0bb6691aed056101bf68?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:","2020-05-22T01:15:56Z"
"spotify:track:6x4tKaOzfNJpEJHySoiJcs","Mambo No. 5 (a Little Bit of...)","spotify:artist:46lnlnlU0dXTDpoAUmH6Qx","Lou Bega","spotify:album:13BmLGhVCLBn3XzKB8HIai","A Little Bit of Mambo","spotify:artist:46lnlnlU0dXTDpoAUmH6Qx","Lou Bega","1999-07-19","https://i.scdn.co/image/ab67616d0000b273cf505191afa6a1978418fdf8","1","1","220293","https://p.scdn.co/mp3-preview/9d4b70e65834b7f7f78e42d1cfc070c827ab0951?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","spotify:user:","2020-05-22T01:15:56Z"
"spotify:track:5yaCquc7koPqtgj7v0lwHX","Waiting for Tonight","spotify:artist:2DlGxzQSjYe5N6G9nkYghR","Jennifer Lopez","spotify:album:3Gby5NNeNYkMgAnrtEA3lc","On The 6","spotify:artist:2DlGxzQSjYe5N6G9nkYghR","Jennifer Lopez","1999-06-01","https://i.scdn.co/image/ab67616d0000b2735c34d7a87663652675cf3264","1","8","246426","https://p.scdn.co/mp3-preview/56b256ca079ce0f979ff7a57e1cd8f5ea37ce6c5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","spotify:user:","2020-05-22T01:15:56Z"
